,,,,,,,,,,,,,,,Identification of resource,Use,Justification
,,,,,,,,,,,,,,,Time,"Conducting a thorough investigation, planning and evaluating experiments.",Utilizing every opportunity and allowing myself sufficient time allows me to keep my folio up to date and make sure it is done to the best of my ability and uses the best possible solutions
,,,,,,,,,,,,,,,Money,To purchase equipment materials and information when it wasn't freely available,Through the use of money I was able to broaden the range of resources and equipment consequently furthering the complexity and skill used for my project.
